id,name,hazardous
3671119,(2014 JS54),True
2152680,152680 (1998 KJ9),True
2465824,465824 (2010 FR),True
54051093,(2020 PS4),True
3278078,(2005 JU81),True
3772396,(2017 FE65),True
3582137,(2011 UG20),True
3802062,(2018 FS3),True
3698847,(2014 WT202),True
3595774,(2012 AA11),True
3721907,(2015 MW53),True
3843615,(2019 QD2),True
2141053,141053 (2001 XT1),True
3170212,(2003 YP1),True
3028805,(2000 CM33),True
2163373,163373 (2002 PZ39),True
3699903,(2014 WR367),True
3275203,(2005 FE3),True
54065895,(2020 TH5),True
3368861,(2007 DY40),True
3674578,(2014 NB52),True
3564724,(2011 JD1),True
2267729,267729 (2003 FC5),True
2363505,363505 (2003 UC20),True
2152978,152978 (2000 GJ147),True
3634847,(2013 GA80),True
3767250,(2017 BS31),True
3019083,(1999 GL4),True
2494999,494999 (2010 JU39),True
2068216,68216 (2001 CV26),True
3255980,(2004 TP1),True
2523788,523788 (2015 FP118),True
2152671,152671 (1998 HL3),True
3709602,(2015 BK515),True
3672960,(2014 KP84),True
2101869,101869 (1999 MM),True
3398140,(2007 YB2),True
2194006,194006 (2001 SG10),True
3710160,(2015 CX12),True
2310442,310442 (2000 CH59),True
3621620,(2012 YO1),True
3399581,(2008 AZ30),True
2161989,161989 Cacus (1978 CA),True
2164211,164211 (2004 JA27),True
54213634,(2021 UM5),True
3825515,(2018 NC),True
2419880,419880 (2011 AH37),True
54235430,(2022 AK),True
2002340,2340 Hathor (1976 UA),True
3696441,(2014 WD7),True
3730731,(2015 TK238),True
2483432,483432 (2001 DF47),True
3445668,(2009 CC3),True
54049909,(2010 CJ188),True
3441171,(2008 XW2),True
54217964,(2021 VO6),True
3754386,(2016 NV),True
3672669,(2014 KZ45),True
54097969,(2020 XR),True
2089958,89958 (2002 LY45),True
3771619,(2017 FE1),True
3562866,(2011 GS60),True
3025766,(2000 AA6),True
3843879,(2019 SH),True
2483423,483423 (2000 DO1),True
3550042,(2010 UY6),True
3562322,(2011 GM44),True
3825481,(2018 MY6),True
3557486,(2011 CY46),True
3638466,(2013 JR28),True
54239541,(2022 BA),True
3390107,(2007 UL12),True
3644047,(2013 LM31),True
3012399,(1994 EK),True
3638629,(2013 KZ1),True
2276033,276033 (2002 AJ129),True
3989301,(2020 BP13),True
3791289,(2017 XL2),True
3070541,(2001 EC),True
3757572,(2016 NL56),True
2531060,531060 (2012 DJ61),True
2260141,260141 (2004 QT24),True
3780696,(2017 PV26),True
3553283,(2010 XC25),True
2523820,523820 (2011 GN44),True
2513489,513489 (2009 EV),True
3557957,(2011 DS9),True
2215588,215588 (2003 HF2),True
2089830,89830 (2002 CE),True
3386864,(2007 SQ6),True
3251889,(2004 RY109),True
2214869,214869 (2007 PA8),True
3724987,(2015 PM),True
3703166,(2014 YS34),True
3572227,(2011 OA),True
3392310,(2007 VN3),True
3728857,(2015 SY16),True
2385252,385252 (2001 EB18),True
3457840,(2009 HA21),True
3712625,(2015 DC200),True
3707698,(2015 BN311),True
54180389,(2010 BV132),True
2497117,497117 (2004 FU4),True
2416195,416195 (2002 TR190),True
3673133,(2014 KV86),True
3335424,(2006 LK),True
3842870,(2019 LX4),True
2612536,612536 (2003 AA3),True
2226514,226514 (2003 UX34),True
2523814,523814 (2008 WN2),True
3753640,(2016 KR3),True
3483055,(2009 XV),True
3605577,(2012 LZ1),True
3461189,(2009 KE3),True
3701883,(2014 XL7),True
3756758,(2016 OK1),True
3788903,(2017 VD),True
3797448,(2018 AE2),True
3124996,(2002 JX8),True
2199145,199145 (2005 YY128),True
2523654,523654 (2011 SR5),True
2406213,406213 (2007 AB2),True
54017686,(2020 MZ3),True
54167166,(2021 NL2),True
54170851,(2021 NM8),True
3781250,(2017 QL33),True
3441820,(2008 YF),True
3114014,(2002 CY9),True
2162120,162120 (1998 SH36),True
3758274,(2016 QC45),True
54216374,(2021 VB4),True
2612780,612780 (2004 MD),True
3337561,(2006 ON1),True
3388312,(2007 TR24),True
2465633,465633 (2009 JR5),True
3592225,(2012 AD3),True
3423200,(2008 PK3),True
3102752,(2002 AC9),True
2477162,477162 (2009 ES),True
3608326,(2012 QE50),True
2480808,480808 (1994 XL1),True
3838259,(2019 CC5),True
2476601,476601 (2008 SE85),True
3843371,(2019 OR1),True
3394543,(2007 VM184),True
3656789,(2014 BX2),True
54017545,(2020 LG2),True
3071769,(2001 FB90),True
2612380,612380 (2002 PF43),True
3022974,(1999 TT16),True
3711779,(2015 DH155),True
2452302,452302 (1995 YR1),True
3740934,(2016 BD15),True
3805267,(2018 HQ),True
3780640,(2017 PR25),True
